pot_id,plant_num,plant_species,above_biomass_g,below_biomass_g,date,notes,,,,,,,,,,,,,,,,,,,
087_X_EpEv_BRE,2,Elymus virginicus,0.179,0.351,08/18/2020,,,,,,,,,,,,,,,,,,,,
088_X_EpEv_BRE,1,Eutrochium fistulosum,,,,dead,,,,,,,,,,,,,,,,,,,
088_X_EpEv_BRE,2,Elymus virginicus,0.311,0.197,08/16/2020,,,,,,,,,,,,,,,,,,,,
089_X_EpEv_BRE,1,Eutrochium fistulosum,0.928,1.081,08/18/2020,,,,,,,,,,,,,,,,,,,,
089_X_EpEv_BRE,2,Elymus virginicus,0.683,1.018,###############################################################################################################################################################################################################################################################,,,,,,,,,,,,,,,,,,,,
090_X_EpEv_BRE,1,Eutrochium fistulosum,1.677,1.006,08/17/2020,,,,,,,,,,,,,,,,,,,,
090_X_EpEv_BRE,2,Elymus virginicus,0.446,0.448,08/17/2020,,,,,,,,,,,,,,,,,,,,
091_N_CnCn_BRE,1,Chamaecrista nictitans,0.433,0.074,08/15/2020,,,,,,,,,,,,,,,,,,,,
091_N_CnCn_BRE,2,Chamaecrista nictitans,0.613,0.105,08/15/2020,,,,,,,,,,,,,,,,,,,,
092_N_CnCn_BRE,1,Chamaecrista nictitans,0.275,0.135,08/15/2020,,,,,,,,,,,,,,,,,,,,
092_N_CnCn_BRE,2,Chamaecrista nictitans,0.336,0.096,08/15/2020,,,,,,,,,,,,,,,,,,,,
093_N_CnCn_BRE,1,Chamaecrista nictitans,1.4,0.212,08/16/2020,,,,,,,,,,,,,,,,,,,,
093_N_CnCn_BRE,2,Chamaecrista nictitans,3.65,0.82,08/16/2020,,,,,,,,,,,,,,,,,,,,
094_N_CnCn_BRE,1,Chamaecrista nictitans,1.281,0.226,08/16/20,,,,,,,,,,,,,,,,,,,,
094_N_CnCn_BRE,2,Chamaecrista nictitans,0.217,0.075,08/16/20,,,,,,,,,,,,,,,,,,,,
