yard,pot_id,pot_order,pot_row,pot_col,rnd_seed,date,combination,mono_hetero,nitrogen,plant_number,plant_species,nodules,notes
BRE,085_X_CnEv_BRE,51,5,3,5,7/22/2020,,,,1,Chamaecrista nictitans,58,
BRE,091_N_CnCn_BRE,52,5,4,5,7/22/2020,,,,1,Chamaecrista nictitans,9,
BRE,091_N_CnCn_BRE,52,5,4,5,7/22/2020,,,,2,Chamaecrista nictitans,9,
BRE,092_N_CnCn_BRE,2,1,2,5,7/22/2020,,,,1,Chamaecrista nictitans,38,
BRE,092_N_CnCn_BRE,2,1,2,5,7/22/2020,,,,2,Chamaecrista nictitans,12,
BRE,093_N_CnCn_BRE,8,1,8,5,7/22/2020,,,,1,Chamaecrista nictitans,87,
BRE,093_N_CnCn_BRE,8,1,8,5,7/22/2020,,,,2,Chamaecrista nictitans,208,
BRE,094_N_CnCn_BRE,1,1,1,5,7/22/2020,,,,1,Chamaecrista nictitans,13,
BRE,094_N_CnCn_BRE,1,1,1,5,7/22/2020,,,,2,Chamaecrista nictitans,4,
BRE,095_N_CnCn_BRE,47,4,2,5,7/22/2020,,,,1,Chamaecrista nictitans,4,
BRE,095_N_CnCn_BRE,47,4,2,5,7/22/2020,,,,2,Chamaecrista nictitans,30,
BRE,106_N_CnEp_BRE,21,2,4,5,7/22/2020,,,,1,Chamaecrista nictitans,38,
BRE,107_N_CnEp_BRE,11,1,11,5,7/22/2020,,,,1,Chamaecrista nictitans,148,
BRE,108_N_CnEp_BRE,26,3,2,5,7/22/2020,,,,1,Chamaecrista nictitans,158,
BRE,109_N_CnEp_BRE,20,2,5,5,7/22/2020,,,,1,Chamaecrista nictitans,43,
BRE,110_N_CnEp_BRE,7,1,7,5,7/22/2020,,,,1,Chamaecrista nictitans,34,
BRE,111_N_CnEv_BRE,4,1,4,5,7/22/2020,,,,1,Chamaecrista nictitans,12,
BRE,112_N_CnEv_BRE,40,4,9,5,7/22/2020,,,,1,Chamaecrista nictitans,34,
BRE,113_N_CnEv_BRE,28,3,4,5,7/22/2020,,,,1,Chamaecrista nictitans,11,
BRE,114_N_CnEv_BRE,23,2,2,5,7/22/2020,,,,1,Chamaecrista nictitans,89,
BRE,115_N_CnEv_BRE,48,4,1,5,7/22/2020,,,,1,Chamaecrista nictitans,106,
SMI,121_X_CnCn_SMI,14,2,11,9,7/22/2020,,,,1,Chamaecrista nictitans,NA,DEAD
SMI,121_X_CnCn_SMI,14,2,11,9,7/22/2020,,,,2,Chamaecrista nictitans,1,
SMI,122_X_CnCn_SMI,2,1,2,9,7/22/2020,,,,1,Chamaecrista nictitans,NA,DEAD
SMI,122_X_CnCn_SMI,2,1,2,9,7/22/2020,,,,2,Chamaecrista nictitans,0,
SMI,123_X_CnCn_SMI,13,2,12,9,7/22/2020,,,,1,Chamaecrista nictitans,6,
SMI,123_X_CnCn_SMI,13,2,12,9,7/22/2020,,,,2,Chamaecrista nictitans,63,
SMI,124_X_CnCn_SMI,58,5,10,9,7/22/2020,,,,1,Chamaecrista nictitans,0,
SMI,124_X_CnCn_SMI,58,5,10,9,7/22/2020,,,,2,Chamaecrista nictitans,NA,DEAD
SMI,125_X_CnCn_SMI,25,3,1,9,7/22/2020,,,,1,Chamaecrista nictitans,NA,DEAD
SMI,125_X_CnCn_SMI,25,3,1,9,7/22/2020,,,,2,Chamaecrista nictitans,NA,DEAD
SMI,136_X_CnEp_SMI,46,4,3,9,7/22/2020,,,,1,Chamaecrista nictitans,0,
SMI,137_X_CnEp_SMI,18,2,7,9,7/22/2020,,,,1,Chamaecrista nictitans,NA,DEAD
SMI,138_X_CnEp_SMI,48,4,1,9,7/22/2020,,,,1,Chamaecrista nictitans,22,
SMI,139_X_CnEp_SMI,16,2,9,9,7/22/2020,,,,1,Chamaecrista nictitans,2,
SMI,140_X_CnEp_SMI,21,2,4,9,7/22/2020,,,,1,Chamaecrista nictitans,73,
SMI,141_X_CnEv_SMI,36,3,12,9,7/22/2020,,,,1,Chamaecrista nictitans,NA,DEAD
SMI,142_X_CnEv_SMI,49,5,1,9,7/22/2020,,,,1,Chamaecrista nictitans,3,
SMI,143_X_CnEv_SMI,57,5,9,9,7/22/2020,,,,1,Chamaecrista nictitans,0,
SMI,144_X_CnEv_SMI,5,1,5,9,7/22/2020,,,,1,Chamaecrista nictitans,NA,DEAD
SMI,145_X_CnEv_SMI,53,5,5,9,7/22/2020,,,,1,Chamaecrista nictitans,NA,DEAD
SMI,151_N_CnCn_SMI,7,1,7,9,7/22/2020,,,,1,Chamaecrista nictitans,NA,DEAD
SMI,151_N_CnCn_SMI,7,1,7,9,7/22/2020,,,,2,Chamaecrista nictitans,NA,DEAD
SMI,152_N_CnCn_SMI,29,3,5,9,7/22/2020,,,,2,Chamaecrista nictitans,2,
SMI,153_N_CnCn_SMI,34,3,10,9,7/22/2020,,,,1,Chamaecrista nictitans,4,
SMI,153_N_CnCn_SMI,34,3,10,9,7/22/2020,,,,2,Chamaecrista nictitans,0,
SMI,154_N_CnCn_SMI,56,5,8,9,7/22/2020,,,,1,Chamaecrista nictitans,0,
SMI,154_N_CnCn_SMI,56,5,8,9,7/22/2020,,,,2,Chamaecrista nictitans,0,
SMI,155_N_CnCn_SMI,39,4,10,9,7/22/2020,,,,1,Chamaecrista nictitans,8,
SMI,155_N_CnCn_SMI,39,4,10,9,7/22/2020,,,,2,Chamaecrista nictitans,10,
SMI,166_N_CnEp_SMI,17,2,8,9,7/22/2020,,,,1,Chamaecrista nictitans,NA,DEAD
SMI,167_N_CnEp_SMI,12,1,12,9,7/22/2020,,,,1,Chamaecrista nictitans,NA,DEAD
SMI,168_N_CnEp_SMI,9,1,9,9,7/22/2020,,,,1,Chamaecrista nictitans,NA,DEAD
SMI,169_N_CnEp_SMI,3,1,3,9,7/22/2020,,,,1,Chamaecrista nictitans,3,
SMI,170_N_CnEp_SMI,44,4,5,9,7/22/2020,,,,1,Chamaecrista nictitans,0,
SMI,171_N_CnEv_SMI,10,1,10,9,7/22/2020,,,,1,Chamaecrista nictitans,1,
SMI,172_N_CnEv_SMI,37,4,12,9,7/22/2020,,,,1,Chamaecrista nictitans,37,
SMI,173_N_CnEv_SMI,33,3,9,9,7/22/2020,,,,1,Chamaecrista nictitans,0,
SMI,174_N_CnEv_SMI,41,4,8,9,7/22/2020,,,,1,Chamaecrista nictitans,NA,DEAD
SMI,175_N_CnEv_SMI,59,5,11,9,7/22/2020,,,,1,Chamaecrista nictitans,NA,DEAD
