yard,week,pot_id,pot_order,pot_row,pot_col,rnd_seed,date,combination,mono_hetero,nitrogen,plant_num,plant_species,leaves_emerged,leaves_emerging,leaves_dead,leaf_height,leaf_width,dead,resprout,notes,check notes
SMI,2,134_X_EvEv_SMI,29,3,5,10,7/27/2020,,,,2,Elymus virginicus,3,1,2,11.6,0.2,N,N,,
SMI,2,143_X_CnEv_SMI,30,3,6,10,7/27/2020,,,,1,Chamaecrista nictitans,30,13,0,3.5,2.2,N,N,,
SMI,2,143_X_CnEv_SMI,30,3,6,10,7/27/2020,,,,2,Elymus virginicus,4,1,5,13,0.5,N,N,,
SMI,2,121_X_CnCn_SMI,31,3,7,10,7/27/2020,,,,1,Chamaecrista nictitans,26,15,0,4,2.6,N,N,,
SMI,2,121_X_CnCn_SMI,31,3,7,10,7/27/2020,,,,2,Chamaecrista nictitans,26,10,0,3.2,2.2,N,N,,
SMI,2,154_N_CnCn_SMI,32,3,8,10,7/27/2020,,,,1,Chamaecrista nictitans,31,11,0,4.6,2.8,N,N,,
SMI,2,154_N_CnCn_SMI,32,3,8,10,7/27/2020,,,,2,Chamaecrista nictitans,27,16,0,4,2.5,N,N,,
SMI,2,129_X_EpEp_SMI,33,3,9,10,7/27/2020,,,,1,Eutrochium fistulosum,NA,NA,NA,NA,NA,Y,N,,
SMI,2,129_X_EpEp_SMI,33,3,9,10,7/27/2020,,,,2,Eutrochium fistulosum,6,29,5,2.6,1.3,N,N,,
SMI,2,166_N_CnEp_SMI,34,3,10,10,7/27/2020,,,,1,Chamaecrista nictitans,29,10,0,4,2.2,N,N,"snapped, likely to die",
SMI,2,166_N_CnEp_SMI,34,3,10,10,7/27/2020,,,,2,Eutrochium fistulosum,0,15,0,NA,NA,N,N,,
SMI,2,140_X_CnEp_SMI,35,3,11,10,7/27/2020,,,,1,Chamaecrista nictitans,19,7,1,3,2.1,N,N,,
SMI,2,140_X_CnEp_SMI,35,3,11,10,7/27/2020,,,,2,Eutrochium fistulosum,14,19,NA,2,1.2,N,N,,na=dead part
SMI,2,176_N_EpEv_SMI,36,3,12,10,7/27/2020,,,,1,Eutrochium fistulosum,6,23,NA,3.1,1.4,N,N,,na=dead part
SMI,2,176_N_EpEv_SMI,36,3,12,10,7/27/2020,,,,2,Elymus virginicus,4,4,5,14.8,0.4,N,N,,
SMI,2,179_N_EpEv_SMI,37,4,12,10,7/27/2020,,,,1,Eutrochium fistulosum,12,37,NA,1.6,1.3,N,N,,na = dead part
SMI,2,179_N_EpEv_SMI,37,4,12,10,7/27/2020,,,,2,Elymus virginicus,7,5,2,9.2,0.4,N,N,,
SMI,2,178_N_EpEv_SMI,38,4,11,10,7/27/2020,,,,1,Eutrochium fistulosum,16,13,NA,2.3,1.5,N,N,,na = dead part
SMI,2,178_N_EpEv_SMI,38,4,11,10,7/27/2020,,,,2,Elymus virginicus,5,5,3,15.7,0.4,N,N,,
SMI,2,177_N_EpEv_SMI,39,4,10,10,7/27/2020,,,,1,Eutrochium fistulosum,3,63,13,1.4,0.9,N,N,,
SMI,2,177_N_EpEv_SMI,39,4,10,10,7/27/2020,,,,2,Elymus virginicus,5,3,3,17.5,0.4,N,N,,
SMI,2,124_X_CnCn_SMI,40,4,9,10,7/27/2020,,,,1,Chamaecrista nictitans,0,2,0,NA,NA,N,N,herbivory,
SMI,2,124_X_CnCn_SMI,40,4,9,10,7/27/2020,,,,2,Chamaecrista nictitans,1,2,0,1.1,1.2,N,N,herbivory,
SMI,2,141_X_CnEv_SMI,41,4,8,10,7/27/2020,,,,1,Chamaecrista nictitans,27,11,0,3.5,2.3,N,N,,
SMI,2,141_X_CnEv_SMI,41,4,8,10,7/27/2020,,,,2,Elymus virginicus,4,3,4,13.8,0.4,N,N,,
SMI,2,151_N_CnCn_SMI,42,4,7,10,7/27/2020,,,,1,Chamaecrista nictitans,NA,NA,NA,NA,NA,Y,N,herbivory,
SMI,2,151_N_CnCn_SMI,42,4,7,10,7/27/2020,,,,2,Chamaecrista nictitans,NA,NA,NA,NA,NA,Y,N,herbivory,
SMI,2,150_X_EpEv_SMI,43,4,6,10,7/27/2020,,,,1,Eutrochium fistulosum,NA,NA,NA,NA,NA,Y,N,,
SMI,2,150_X_EpEv_SMI,43,4,6,10,7/27/2020,,,,2,Elymus virginicus,7,2,2,9.1,0.2,N,N,,
SMI,2,152_N_CnCn_SMI,44,4,5,10,7/27/2020,,,,1,Chamaecrista nictitans,5,1,1,1.5,0.9,N,N,,
SMI,2,152_N_CnCn_SMI,44,4,5,10,7/27/2020,,,,2,Chamaecrista nictitans,2,3,0,1.2,1.4,N,N,,
SMI,2,157_N_EpEp_SMI,45,4,4,10,7/27/2020,,,,1,Eutrochium fistulosum,0,11,NA,NA,NA,Y,N,,na = dead part
SMI,2,157_N_EpEp_SMI,45,4,4,10,7/27/2020,,,,2,Eutrochium fistulosum,NA,NA,NA,NA,NA,Y,N,,
SMI,2,139_X_CnEp_SMI,46,4,3,10,7/27/2020,,,,1,Chamaecrista nictitans,25,27,0,4,2.1,N,N,,
SMI,2,139_X_CnEp_SMI,46,4,3,10,7/27/2020,,,,2,Eutrochium fistulosum,4,28,NA,1.2,0.5,N,N,,na = dead part
SMI,2,147_X_EpEv_SMI,47,4,2,10,7/27/2020,,,,1,Eutrochium fistulosum,9,14,7,3,1.8,N,N,,
SMI,2,147_X_EpEv_SMI,47,4,2,10,7/27/2020,,,,2,Elymus virginicus,5,4,1,8.8,0.2,N,N,,
SMI,2,161_N_EvEv_SMI,48,4,1,10,7/27/2020,,,,1,Elymus virginicus,4,6,2,8.2,0.2,N,N,,
SMI,2,161_N_EvEv_SMI,48,4,1,10,7/27/2020,,,,2,Elymus virginicus,6,7,1,13.6,0.3,N,N,,
SMI,2,162_N_EvEv_SMI,49,5,1,10,7/27/2020,,,,1,Elymus virginicus,5,5,4,10.7,0.2,N,N,,
SMI,2,162_N_EvEv_SMI,49,5,1,10,7/27/2020,,,,2,Elymus virginicus,4,7,3,10.2,0.3,N,N,,
SMI,2,175_N_CnEv_SMI,50,5,2,10,7/27/2020,,,,1,Chamaecrista nictitans,32,16,0,2.9,2.5,N,N,,
SMI,2,175_N_CnEv_SMI,50,5,2,10,7/27/2020,,,,2,Elymus virginicus,3,12,3,11.6,0.3,N,N,,
SMI,2,158_N_EpEp_SMI,51,5,3,10,7/27/2020,,,,1,Eutrochium fistulosum,3,35,9,1.9,1.8,N,N,,
SMI,2,158_N_EpEp_SMI,51,5,3,10,7/27/2020,,,,2,Eutrochium fistulosum,0,10,NA,NA,NA,N,N,,na = dead part for leave_dead
SMI,2,131_X_EvEv_SMI,52,5,4,10,7/27/2020,,,,1,Elymus virginicus,0,4,5,NA,NA,N,N,,
SMI,2,131_X_EvEv_SMI,52,5,4,10,7/27/2020,,,,2,Elymus virginicus,4,4,4,20.2,0.6,N,N,,
SMI,2,145_X_CnEv_SMI,53,5,5,10,7/27/2020,,,,1,Chamaecrista nictitans,30,13,0,2.8,2,N,N,,
SMI,2,145_X_CnEv_SMI,53,5,5,10,7/27/2020,,,,2,Elymus virginicus,3,2,2,10.3,0.2,N,N,,
SMI,2,128_X_EpEp_SMI,54,5,6,10,7/27/2020,,,,1,Eutrochium fistulosum,7,30,NA,1.7,0.8,N,N,,na = dead part
SMI,2,128_X_EpEp_SMI,54,5,6,10,7/27/2020,,,,2,Eutrochium fistulosum,36,42,7,2.5,1.3,N,N,,
SMI,2,164_N_EvEv_SMI,55,5,7,10,7/27/2020,,,,1,Elymus virginicus,0,2,NA,NA,NA,N,N,,na = dead part for leaves_dead
SMI,2,164_N_EvEv_SMI,55,5,7,10,7/27/2020,,,,2,Elymus virginicus,6,7,3,13.8,0.4,N,N,,
SMI,2,153_N_CnCn_SMI,56,5,8,10,7/27/2020,,,,1,Chamaecrista nictitans,4,2,0,2,1.8,N,N,herbivory? Few leaves,
SMI,2,153_N_CnCn_SMI,56,5,8,10,7/27/2020,,,,2,Chamaecrista nictitans,3,3,0,1,1.4,N,N,,
SMI,2,149_X_EpEv_SMI,57,5,9,10,7/27/2020,,,,1,Eutrochium fistulosum,0,31,NA,NA,NA,N,N,,na = dead part for leaves_dead
SMI,2,149_X_EpEv_SMI,57,5,9,10,7/27/2020,,,,2,Elymus virginicus,5,3,3,14,0.4,N,N,,
SMI,2,146_X_EpEv_SMI,58,5,10,10,7/27/2020,,,,1,Eutrochium fistulosum,10,36,2,3.1,1.7,N,N,,
SMI,2,146_X_EpEv_SMI,58,5,10,10,7/27/2020,,,,2,Elymus virginicus,4,2,2,8.4,0.2,N,N,,
SMI,2,156_N_EpEp_SMI,59,5,11,10,7/27/2020,,,,1,Eutrochium fistulosum,0,5,NA,NA,NA,N,N,,
SMI,2,156_N_EpEp_SMI,59,5,11,10,7/27/2020,,,,2,Eutrochium fistulosum,0,9,NA,NA,NA,N,N,,
SMI,2,173_N_CnEv_SMI,60,5,12,10,7/27/2020,,,,1,Chamaecrista nictitans,1,1,0, possibly 020?,,N,N,,
SMI,2,173_N_CnEv_SMI,60,5,12,10,7/27/2020,,,,2,Elymus virginicus,9,8,2,18.2,0.6,N,N,,
SMI,3,122_X_CnCn_SMI,1,1,1,11,8/3/2020,,,,1,Chamaecrista nictitans,NA,NA,NA,NA,NA,Y,N,,
SMI,3,122_X_CnCn_SMI,1,1,1,11,8/3/2020,,,,2,Chamaecrista nictitans,3,1,0,1.8,2,N,N,,
SMI,3,160_N_EpEp_SMI,2,1,2,11,8/3/2020,,,,1,Eutrochium fistulosum,12,23,0,1.9,1.3,N,N,,
SMI,3,160_N_EpEp_SMI,2,1,2,11,8/3/2020,,,,2,Eutrochium fistulosum,48,46,0,3.9,2,N,N,,
